mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
97.07005249525088,12.421484653915522,43.12853718130428,180.9655662285303,0.0,0.0,0.002533333333333333,0.0,0.0,1.0,charis12,6,25.0,30.0,PASS,All criteria met
94.53546032821316,15.687221352508141,57.23615628216554,141.58590685025206,0.0,0.0,0.0013333333333333333,0.0,0.0,1.0,charis12,7,30.0,35.0,PASS,All criteria met
91.85477154316746,16.747651581602195,64.17486870706466,132.0164029846329,0.0,0.0,0.0011333333333333334,0.0,0.0,1.0,charis12,8,35.0,40.0,PASS,All criteria met
92.74815872003228,17.914212648507696,60.80416717364211,139.46483125117152,0.0,0.0,0.0012666666666666666,0.0,0.0,1.0,charis12,9,40.0,45.0,PASS,All criteria met
93.62762352936018,19.522825319528064,63.81313488396566,137.24510097306398,0.0,0.0,0.0006666666666666666,0.0,0.0,1.0,charis12,10,45.0,50.0,PASS,All criteria met
89.76792939924088,20.92644900554672,61.16866908634361,138.72869808260947,0.0,0.0,0.0004,0.0,0.0,1.0,charis13,1,0.0,5.0,PASS,All criteria met
89.89233267983788,21.062638550954695,61.49251054353052,140.77139035101925,0.0,0.0,0.00046666666666666666,0.0,0.0,1.0,charis13,2,5.0,10.0,PASS,All criteria met
89.42267039665597,20.955601438925218,60.446253528003574,137.9938270836084,0.0,0.0,0.0002,0.0,0.0,1.0,charis13,3,10.0,15.0,PASS,All criteria met
88.11731115268462,20.63435883777444,59.4622737157818,136.44935244164003,0.0,0.0,0.0002,0.0,0.0,1.0,charis13,4,15.0,20.0,PASS,All criteria met
87.33594897587216,20.379907567350138,58.10463068372896,135.96359025585969,0.0,0.0,0.0002,0.0,0.0,1.0,charis13,5,20.0,25.0,PASS,All criteria met
86.20216425736925,20.08636343466281,57.76833378588101,136.21269906908037,0.0,0.0,0.0003333333333333333,0.0,0.0,1.0,charis13,6,25.0,30.0,PASS,All criteria met
35.983977321133644,46.787963724667236,-292.9768752288687,326.27026811581567,0.0,0.0033333333333333335,0.020533333333333334,0.003266666666666667,0.0003333555570371358,0.4314,charis13,7,30.0,35.0,FAIL,Out of physiological range
23.33273298109347,37.60599259483499,-0.049821762644140594,134.2073731226537,0.0,0.0002666666666666667,0.025066666666666668,0.0,0.00013334222281485432,0.27953333333333336,charis13,8,35.0,40.0,FAIL,Out of physiological range
83.19882785999754,18.45989844595857,6.564017228365523,171.78543759699676,0.0,0.0,0.0006666666666666666,0.0,0.0012000800053336889,0.9982666666666666,charis13,9,40.0,45.0,PASS,All criteria met
83.5171889232936,18.32442655962045,51.4907916927193,137.495609457167,0.0,0.0,0.0003333333333333333,0.0,0.0,1.0,charis13,10,45.0,50.0,PASS,All criteria met
